scenario,month,new_customers,active_customers,churned_customers,arpu,revenue,payment_fees,variable_infrastructure,fixed_infrastructure,marketing_cost,sales_cost,development_cost,support_cost,other_cost,total_cost,gross_profit,operating_profit,cumulative_cash_flow
pessimistic,1,0,0,0,149,0,0.0,0.0,120,300,0,7222.22,0,250,7892.22,-120.0,-7892.22,-7892.22
pessimistic,2,0,0,0,149,0,0.0,0.0,120,300,0,7222.22,0,250,7892.22,-120.0,-7892.22,-15784.44
pessimistic,3,0,0,0,149,0,0.0,0.0,120,300,0,7222.22,0,250,7892.22,-120.0,-7892.22,-23676.67
pessimistic,4,1,1,0,149,149,2.93,2.5,120,300,180,7222.22,8,250,8085.65,23.57,-7936.65,-31613.32
pessimistic,5,1,2,0,149,298,5.86,5.0,120,300,180,7222.22,16,250,8099.09,167.14,-7801.09,-39414.41
pessimistic,6,1,3,0,149,447,8.8,7.5,120,300,180,7222.22,24,250,8112.52,310.7,-7665.52,-47079.93
pessimistic,7,1,4,0,149,596,11.73,10.0,120,800,180,7222.22,32,250,8625.95,454.27,-8029.95,-55109.88
pessimistic,8,1,5,0,149,745,14.66,12.5,120,800,180,7222.22,40,250,8639.38,597.84,-7894.38,-63004.26
pessimistic,9,1,6,0,149,894,17.59,15.0,120,800,180,7222.22,48,250,8652.81,741.41,-7758.81,-70763.07
pessimistic,10,1,7,0,149,1043,20.52,17.5,120,800,180,0,56,250,1444.02,884.98,-401.02,-71164.1
pessimistic,11,1,7,1,149,1043,20.52,17.5,120,800,180,0,56,250,1444.02,884.98,-401.02,-71565.12
pessimistic,12,1,7,1,149,1043,20.52,17.5,120,800,180,0,56,250,1444.02,884.98,-401.02,-71966.14
pessimistic,13,2,8,1,149,1192,23.46,20.0,120,800,360,0,64,250,1637.46,1028.54,-445.46,-72411.6
pessimistic,14,2,9,1,149,1341,26.39,22.5,120,800,360,0,72,250,1650.89,1172.11,-309.89,-72721.49
pessimistic,15,2,10,1,149,1490,29.32,25.0,120,800,360,0,80,250,1664.32,1315.68,-174.32,-72895.81
pessimistic,16,2,11,1,149,1639,32.25,27.5,120,800,360,0,88,250,1677.75,1459.25,-38.75,-72934.56
pessimistic,17,2,12,1,149,1788,35.18,30.0,120,800,360,0,96,250,1691.18,1602.82,96.82,-72837.74
pessimistic,18,2,13,1,149,1937,38.12,32.5,120,800,360,0,104,250,1704.62,1746.38,232.38,-72605.36
pessimistic,19,2,14,1,149,2086,41.05,35.0,120,800,360,0,112,250,1718.05,1889.95,367.95,-72237.41
pessimistic,20,2,15,1,149,2235,43.98,37.5,120,800,360,0,120,250,1731.48,2033.52,503.52,-71733.89
pessimistic,21,2,16,1,149,2384,46.91,40.0,120,800,360,0,128,250,1744.91,2177.09,639.09,-71094.8
pessimistic,22,2,17,1,149,2533,49.84,42.5,120,800,360,0,136,250,1758.34,2320.66,774.66,-70320.14
pessimistic,23,2,18,1,149,2682,52.78,45.0,120,800,360,0,144,250,1771.78,2464.22,910.22,-69409.92
pessimistic,24,2,19,1,149,2831,55.71,47.5,120,800,360,0,152,250,1785.21,2607.79,1045.79,-68364.13
pessimistic,25,3,20,2,149,2980,58.64,50.0,120,800,540,0,160,250,1978.64,2751.36,1001.36,-67362.77
pessimistic,26,3,21,2,149,3129,61.57,52.5,120,800,540,0,168,250,1992.07,2894.93,1136.93,-66225.84
pessimistic,27,3,22,2,149,3278,64.5,55.0,120,800,540,0,176,250,2005.5,3038.5,1272.5,-64953.34
pessimistic,28,3,23,2,149,3427,67.44,57.5,120,800,540,0,184,250,2018.94,3182.06,1408.06,-63545.28
pessimistic,29,3,24,2,149,3576,70.37,60.0,120,800,540,0,192,250,2032.37,3325.63,1543.63,-62001.65
pessimistic,30,3,25,2,149,3725,73.3,62.5,120,800,540,0,200,250,2045.8,3469.2,1679.2,-60322.45
pessimistic,31,3,26,2,149,3874,76.23,65.0,120,800,540,0,208,250,2059.23,3612.77,1814.77,-58507.68
pessimistic,32,3,27,2,149,4023,79.16,67.5,120,800,540,0,216,250,2072.66,3756.34,1950.34,-56557.34
pessimistic,33,3,28,2,149,4172,82.1,70.0,120,800,540,0,224,250,2086.1,3899.9,2085.9,-54471.44
pessimistic,34,3,29,2,149,4321,85.03,72.5,120,800,540,0,232,250,2099.53,4043.47,2221.47,-52249.97
pessimistic,35,3,30,2,149,4470,87.96,75.0,120,800,540,0,240,250,2112.96,4187.04,2357.04,-49892.93
pessimistic,36,3,31,2,149,4619,90.89,77.5,120,800,540,0,248,250,2126.39,4330.61,2492.61,-47400.32
base,1,0,0,0,249,0,0.0,0.0,180,500,0,8125.0,0,350,9155.0,-180.0,-9155.0,-9155.0
base,2,0,0,0,249,0,0.0,0.0,180,500,0,8125.0,0,350,9155.0,-180.0,-9155.0,-18310.0
base,3,0,0,0,249,0,0.0,0.0,180,500,0,8125.0,0,350,9155.0,-180.0,-9155.0,-27465.0
base,4,2,2,0,249,498,9.46,4.0,180,1500,440,8125.0,20,350,10628.46,304.54,-10130.46,-37595.46
base,5,2,4,0,249,996,18.93,8.0,180,1500,440,8125.0,40,350,10661.93,789.07,-9665.93,-47261.39
base,6,2,6,0,249,1494,28.39,12.0,180,1500,440,8125.0,60,350,10695.39,1273.61,-9201.39,-56462.78
base,7,4,10,0,249,2490,47.32,20.0,180,1500,880,8125.0,100,350,11202.32,2242.68,-8712.32,-65175.1
base,8,4,14,0,249,3486,66.25,28.0,180,1500,880,8125.0,140,350,11269.25,3211.75,-7783.25,-72958.35
base,9,4,17,1,249,4233,80.44,34.0,180,1500,880,0,170,350,3194.44,3938.56,1038.56,-71919.8
base,10,4,20,1,249,4980,94.64,40.0,180,1500,880,0,200,350,3244.64,4665.36,1735.36,-70184.44
base,11,4,23,1,249,5727,108.84,46.0,180,1500,880,0,230,350,3294.84,5392.16,2432.16,-67752.27
base,12,4,26,1,249,6474,123.03,52.0,180,1500,880,0,260,350,3345.03,6118.97,3128.97,-64623.3
base,13,6,31,1,249,7719,146.69,62.0,180,2500,1320,0,310,350,4868.69,7330.31,2850.31,-61773.0
base,14,6,36,1,249,8964,170.35,72.0,180,2500,1320,0,360,350,4952.35,8541.65,4011.65,-57761.35
base,15,6,41,1,249,10209,194.01,82.0,180,2500,1320,0,410,350,5036.01,9752.99,5172.99,-52588.36
base,16,6,45,2,249,11205,212.94,90.0,180,2500,1320,0,450,350,5102.94,10722.06,6102.06,-46486.3
base,17,6,49,2,249,12201,231.87,98.0,180,2500,1320,0,490,350,5169.87,11691.13,7031.13,-39455.17
base,18,6,53,2,249,13197,250.8,106.0,180,2500,1320,0,530,350,5236.8,12660.2,7960.2,-31494.96
base,19,6,57,2,249,14193,269.72,114.0,180,2500,1320,0,570,350,5303.72,13629.28,8889.28,-22605.69
base,20,6,61,2,249,15189,288.65,122.0,180,2500,1320,0,610,350,5370.65,14598.35,9818.35,-12787.34
base,21,6,65,2,249,16185,307.58,130.0,180,2500,1320,0,650,350,5437.58,15567.42,10747.42,-2039.92
base,22,6,68,3,249,16932,321.78,136.0,180,2500,1320,0,680,350,5487.78,16294.22,11444.22,9404.3
base,23,6,71,3,249,17679,335.97,142.0,180,2500,1320,0,710,350,5537.97,17021.03,12141.03,21545.33
base,24,6,74,3,249,18426,350.17,148.0,180,2500,1320,0,740,350,5588.17,17747.83,12837.83,34383.16
base,25,8,79,3,249,19671,373.83,158.0,180,3500,1760,0,790,350,7111.83,18959.17,12559.17,46942.34
base,26,8,84,3,249,20916,397.49,168.0,180,3500,1760,0,840,350,7195.49,20170.51,13720.51,60662.85
base,27,8,89,3,249,22161,421.15,178.0,180,3500,1760,0,890,350,7279.15,21381.85,14881.85,75544.7
base,28,8,93,4,249,23157,440.08,186.0,180,3500,1760,0,930,350,7346.08,22350.92,15810.92,91355.62
base,29,8,97,4,249,24153,459.0,194.0,180,3500,1760,0,970,350,7413.0,23320.0,16740.0,108095.62
base,30,8,101,4,249,25149,477.93,202.0,180,3500,1760,0,1010,350,7479.93,24289.07,17669.07,125764.69
base,31,8,105,4,249,26145,496.86,210.0,180,3500,1760,0,1050,350,7546.86,25258.14,18598.14,144362.83
base,32,8,109,4,249,27141,515.79,218.0,180,3500,1760,0,1090,350,7613.79,26227.21,19527.21,163890.04
base,33,8,113,4,249,28137,534.72,226.0,180,3500,1760,0,1130,350,7680.72,27196.28,20456.28,184346.32
base,34,8,116,5,249,28884,548.91,232.0,180,3500,1760,0,1160,350,7730.91,27923.09,21153.09,205499.41
base,35,8,119,5,249,29631,563.11,238.0,180,3500,1760,0,1190,350,7781.11,28649.89,21849.89,227349.3
base,36,8,122,5,249,30378,577.3,244.0,180,3500,1760,0,1220,350,7831.3,29376.7,22546.7,249896.0
optimistic,1,0,0,0,399,0,0.0,0.0,250,1000,0,10000.0,0,500,11750.0,-250.0,-11750.0,-11750.0
optimistic,2,0,0,0,399,0,0.0,0.0,250,1000,0,10000.0,0,500,11750.0,-250.0,-11750.0,-23500.0
optimistic,3,3,3,0,399,1197,22.3,6.6,250,1000,780,10000.0,36,500,12594.9,918.1,-11397.9,-34897.9
optimistic,4,3,6,0,399,2394,44.59,13.2,250,3000,780,10000.0,72,500,14659.79,2086.21,-12265.79,-47163.69
optimistic,5,3,9,0,399,3591,66.89,19.8,250,3000,780,10000.0,108,500,14724.69,3254.31,-11133.69,-58297.38
optimistic,6,3,12,0,399,4788,89.18,26.4,250,3000,780,10000.0,144,500,14789.58,4422.42,-10001.58,-68298.96
optimistic,7,6,18,0,399,7182,133.78,39.6,250,3000,1560,0,216,500,5699.38,6758.62,1482.62,-66816.34
optimistic,8,6,24,0,399,9576,178.37,52.8,250,3000,1560,0,288,500,5829.17,9094.83,3746.83,-63069.5
optimistic,9,6,30,0,399,11970,222.96,66.0,250,3000,1560,0,360,500,5958.96,11431.04,6011.04,-57058.46
optimistic,10,6,35,1,399,13965,260.12,77.0,250,3000,1560,0,420,500,6067.12,13377.88,7897.88,-49160.58
optimistic,11,6,40,1,399,15960,297.28,88.0,250,3000,1560,0,480,500,6175.28,15324.72,9784.72,-39375.86
optimistic,12,6,45,1,399,17955,334.44,99.0,250,3000,1560,0,540,500,6283.44,17271.56,11671.56,-27704.3
optimistic,13,10,54,1,399,21546,401.33,118.8,250,5500,2600,0,648,500,10018.13,20775.87,11527.87,-16176.43
optimistic,14,10,63,1,399,25137,468.22,138.6,250,5500,2600,0,756,500,10212.82,24280.18,14924.18,-1252.25
